step,data_bpt,param_bpt,S,lambda,I,configuration,lambda_type,lambda_value
229,3.717342214851857,0.0355810109414113,0.009480878984379,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
230,3.782368911860397,0.0359181239267504,0.0094068684701033,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
231,3.806415669252898,0.0353431900686874,0.0091997419314674,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
232,3.674793906950789,0.035094293619006,0.0094596633973002,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
233,3.765161566907363,0.0346179793500339,0.0091105231049867,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
234,3.636916022537292,0.0406349257870311,0.0110494528445748,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
235,3.671307318432851,0.0334604206863789,0.0090317188667632,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
236,3.72114086074908,0.0386089966266125,0.0102690333376491,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
237,3.6781719341940353,0.034170136441565,0.0092044687131201,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
238,3.6304390494827063,0.0332684062986263,0.0090805302279604,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
239,3.711204340171612,0.0355175868098998,0.0094796431392799,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
240,3.602438424110383,0.034955584576995,0.0096100627244419,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
241,3.752947069075841,0.0359988728939065,0.0095010257325529,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
242,3.740661288531715,0.0360339594878728,0.0095411350721952,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
243,3.733785037916971,0.0358386248873636,0.0095072155984669,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
244,3.697409520622459,0.0362385664526861,0.0097059405727427,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
245,3.7349035466139986,0.035847686234582,0.0095067757115075,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
246,3.6613331749528313,0.0334768053248099,0.009060494451272,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
247,3.7314028169760207,0.0363535322184895,0.0096485889344361,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
248,3.650186870306114,0.0329194960180234,0.008937970491164,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
249,3.649172634589097,0.0349321470232939,0.0094818549129336,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
250,3.670678994887948,0.0379545018728402,0.0102340934756671,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
251,3.707675483944008,0.0398220775843357,0.0106263118068835,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
252,3.726942913114901,0.0365423403331807,0.0097097073250654,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
253,3.72258394859676,0.0309317904088542,0.0082407514873105,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
254,3.690069436916262,0.0345017263390993,0.0092632748380471,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
255,3.629525023098663,0.0358482792917325,0.0097802532878039,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
256,3.678206138284255,0.0362311959260425,0.0097541545774241,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
257,3.669810919340367,0.0378435783940458,0.010206878342405,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
258,3.655609470320328,0.0366453132894546,0.0099249145676853,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
259,3.684757715478668,0.0334460945934626,0.0089952289605162,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
260,3.721234556517531,0.0356092081609604,0.0094784905605484,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
261,3.652223913153749,0.0347767407630966,0.0094322578234837,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
262,3.7335178699163794,0.0370103452281183,0.0098156924219436,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
263,3.681167470092768,0.0332649466402992,0.0089555934549905,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
264,3.646790208491793,0.0359734475543329,0.0097680576094732,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
265,3.772891499487412,0.035682588506938,0.0093690151963747,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
266,3.709475603117738,0.0320896004525165,0.0085765177690599,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
267,3.623948512774275,0.0347630639497486,0.0095014496826981,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
268,3.715054514268242,0.035048869164491,0.0093461074484854,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
269,3.646691074582698,0.0335163349108519,0.0091071864113942,0.5033686320978078,-0.0009166127148414,PI_control,adaptive,adaptive
