step,data_bpt,param_bpt,S,lambda,I,configuration,lambda_type,lambda_value
31,3.903600098260773,0.0382566187922099,0.0097052281547187,0.5,0.0,PI_control,adaptive,adaptive
32,3.991284527246293,0.03575218663535,0.0088780384127386,0.5,0.0,PI_control,adaptive,adaptive
33,3.9078071873800506,0.0338701232994101,0.008592819916446,0.5,0.0,PI_control,adaptive,adaptive
34,4.0116604864146215,0.0323031544361771,0.0079879932919923,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
35,3.8758204298168426,0.0361344970395778,0.0092369410474304,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
36,3.839209289401186,0.037327252011206,0.0096290210636338,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
37,3.804545574744947,0.0378871570199552,0.0098602004679865,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
38,3.881595120228331,0.0333459758345744,0.0085176187882134,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
39,3.8834965882428216,0.035573127893623,0.0090769316369019,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
40,3.850909957202331,0.0356020036644495,0.0091603998708676,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
41,3.7982546491351177,0.0319068814713605,0.0083304271155134,0.5009566171371016,-0.0003018010062011,PI_control,adaptive,adaptive
42,3.856327150238718,0.0309464717377154,0.0079609707849639,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
43,3.892127874417009,0.0333471861646162,0.0084950701889506,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
44,3.897290695700307,0.0339998974876701,0.0086485332696046,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
45,3.863545165646211,0.0326149359849833,0.0083710461413863,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
46,3.875894914140861,0.0356172580883188,0.0091057515661572,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
47,3.778788651299396,0.0390047198791107,0.0102165612664025,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
48,3.8616217677313793,0.0339730439781761,0.0087208874691121,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
49,3.864161819497624,0.0356399802741501,0.0091389209257342,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
50,3.859344766362004,0.0351741459106458,0.0090317049943711,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
51,3.8586584448491696,0.0365935592506031,0.0093944009815252,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
52,3.8813088394086286,0.0370963056614633,0.0094671950163539,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
53,3.8075341050189344,0.0359060207074601,0.0093421569044669,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
54,3.9093582465335497,0.0373738569281979,0.0094695702541899,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
55,3.873224748554614,0.0345992229202946,0.0088538335331506,0.5020794547467464,-0.0006076553884565,PI_control,adaptive,adaptive
